Field ,Identification number,Days,Na,K,Mg,Ca,Sr,Ba,Cl,SO4
Kraka,7,0,17168.91,322,838,5780,83,1,38700,1140
Kraka,6,1127,34409.46,165,426,4942,369,1,63192,490
Kraka,7,1127,36681.36,165,459,4430,342,1,65857,503
Kraka,7,1290,42619,333,496,2870,368,1,72499.9999999999,560
Kraka,7,1423,41310.26,279,504,2155,20,1,68953,496
Kraka,7,1423,41951.75,185,465,2096,324,1,69836,563
Kraka,6,1426,39241.44,289,472,2421,21,1,66162.00000001,476
Kraka,6,1426,39450.46,250,480,2479,22,1,66576,476
Kraka,2,1431,40868.11,307,806,3903,522,1,72735.00000001,422
Kraka,7,1446,41131.58,273,522,3080,23,1,70369,490
Kraka,6,1788,40377.97000001,193,464,2139,320,1,67513,524
Kraka,6,1788,41042.69,194,464,2151,320,1,68553,535
Kraka,6,1789,40197.32000001,194,459,2133,360,1,67243,523
Kraka,6,1789,40229.96000001,269,409,1883,375,1,66791.00000001,515
Kraka,6,1789,40325.14,194,468,2095,332,1,67384,513
Kraka,6,1789,40399.23,191,460,2043,361,1,67400,518
Kraka,6,1789,40593.34,258,411,1926,394,1,67420,541
Kraka,1,1791,27111.9,315,746,1300,187,1,45512,1696
Kraka,1,1792,35923.66,299,592,1929,29,1,60122.00000001,1036
Kraka,2,1944,43184.29,201,598,2867,430,1,73705,411
Kraka,2,1944,43292.32,205,604,2918,427,1,73983.00000001,408
Kraka,2,1944,43300.33,206,605,2951,425,1,74056,408
Kraka,2,1944,43378.33,210,599,2913,428,1,74091,417
Kraka,2,1944,43572.44,196,588,2924,410,1,74358,407
Kraka,2,1944,43708.12,205,566,2701,452,1,74135.00000001,428
Kraka,2,1944,43718.22,204,598,2919,424,1,74605.00000001,430
Kraka,2,1944,43787.3,205,568,2713,455,1,74286,429
Kraka,2,1944,43937.81000001,208,570,2714,458,1,74537,421
Kraka,10,1969,40606.09,259,552,4274,307,1,71858.00000001,651
Kraka,10,1969,41936.35000001,251,546,4538,307,1,74325.00000001,690
Kraka,6,2346,38732.14000001,174,437,1974,328,1,64633,467
Kraka,2,2346,41841.92,190,551,3107,413,1,71925.00000001,373
Kraka,7,2346,41884.21000001,191,485,2163,361,1,69999.00000001,489
Kraka,3,2346,42340.26,201,531,2551,404,1,71619.9999999999,419
Kraka,6,2402,39620.81,197,465,2374,288,1,66744,520
Kraka,10,2402,40488.89000001,223,517,2805,338,1,69089,485
Kraka,7,2402,41430.66,241,492,2459,285,1,69803,522
Kraka,9,2402,41636.49,226,561,3042,361,1,71472,428
Kraka,3,2402,42040.98,233,555,2903,356,1,71818.00000001,451
Kraka,2,2402,43000.58000001,215,579,3041,375,1,73637.00000001,418
Kraka,9,2662,42739.71000001,202,557,2663,387,1,72495.00000001,423
Kraka,3,2662,43352.90000001,221,552,2576,391,1,73263.00000001,464
Kraka,2,2662,43677.74000001,218,587,3540,410,1,75615.00000001,425
Kraka,6,3258,39471.86,200,433,2283,265,1,66252,510
Kraka,7,3258,43253.81000001,213,463,2314,275,1,72223.00000001,549
Kraka,2,3259,44139.59000001,209,527,2849,327,1,74865,411
Kraka,3,3260,35676.16,186,412,2120,256,1,60124,374
Kraka,9,3260,42207.29000001,209,495,2760,308,1,71602.00000001,430
Kraka,4,3261,41037.71,226,434,2145,246,1,68398,561
Kraka,10,3261,42277.14,219,467,2375,295,1,70902,488
Kraka,2,3555,32807.05,128,419,2325,259,1,56072,314
Kraka,10,3555,33510.98,136,406,2281,250,1,56995.9999999999,377
Kraka,6,3555,39550.75000001,173,452,2587,280,1,66960,502
Kraka,7,3555,40831.05,184,486,2656,284,1,69145,537
Kraka,3,3555,41212.99000001,179,524,2995,317,1,70536,445
Kraka,4,3555,41359.04,198,460,2374,253,1,69339,582
Kraka,9,3555,41990.84,183,551,3231,344,1,72267,434
Kraka,7,5413,40861.87,197,470,2115,351,1,68279.00000001,504
Kraka,7,5413,41057.95000001,204,474,2126,351,1,68611.9999999999,513
Kraka,3,5414,41904.90000001,209,495,2260,387,1,70278,478
Kraka,3,5414,42813.32000001,213,503,2295,392,3,71789.00000001,458
Kraka,8,5415,42858.35,209,540,2434,423,1,72262,419
Kraka,8,5415,42996.12,210,550,2469,429,1,72579,409
Kraka,5,5416,40941.63000001,216,461,2010,331,1,68152,556
Kraka,5,5416,41412.84000001,217,478,2085,347,1,69086,542
Kraka,1,5417,41635.05,212,488,2182,372,1,69693.00000001,478
Kraka,1,5417,41776.25000001,215,487,2167,369,1,69864,502
Kraka,10,5418,39006.8,204,495,2164,374,1,65603,500
Kraka,10,5418,39084.6,208,495,2164,375,2,65733.00000001,494
